step,policy_angle_bin,policy_speed_bin,policy_macro_bin,effective_macro_bin,targeted_stuck_macro_triggered,stuck_macro_triggered,targeted_stuck_macro_context,stuck_macro_context,reward,distance,angle_error,wrapper_angle_error,no_progress_time,stuck_time,time_since_collision,wrapper_recent_collision_norm,recovery_mode,macro_recovery_steps_left,success_flag,x,y,heading
1,2,1,0,0,0,0,0,0,-7.393676987596575,1469.5582275390625,1.5401854760657487,2.358745613407752,0.0,0.0,5.3,0.0,0,0,0,-497.73297119140625,-540.104248046875,-0.7343981287668497
2,2,1,0,0,0,0,0,0,-0.2326543618421173,1446.789794921875,0.715824546338994,1.520987572450474,0.0,0.0,5.6,0.0,0,0,0,-467.89306640625,-537.0089721679688,0.10335991219042828
3,2,1,0,0,0,0,0,0,5.6375880436022205,1416.789794921875,-3.401754289367176e-08,0.7151850716734024,0.0,0.0,5.8999999999999995,0.0,0,0,0,-447.4085388183594,-515.09130859375,0.8191844585294223
4,2,1,0,0,0,0,0,0,5.7979972811497085,1386.789794921875,2.6717279166810215e-08,-0.0006394746655917771,0.0,0.0,6.199999999999999,0.0,0,0,0,-426.92401123046875,-493.17364501953125,0.8191844245118793
5,2,1,0,0,0,0,0,0,5.797997281468214,1356.789794921875,2.789877218134507e-08,-0.0006394406480487724,0.0,0.0,6.499999999999999,0.0,0,0,0,-406.4394836425781,-471.2559814453125,0.8191844512291584
6,2,1,0,0,0,0,0,0,5.797997035414123,1326.789794921875,-4.448251655908564e-09,-3.388417440985947e-05,0.0,0.0,6.799999999999999,0.0,0,0,0,-385.9549560546875,-449.33831787109375,0.8191844791279306
7,2,1,0,0,0,0,0,0,5.797997040439665,1296.789794921875,-4.654063801012853e-09,-3.3912073182040814e-05,0.0,0.0,7.099999999999999,0.0,0,0,0,-365.4704284667969,-427.420654296875,0.819184474679679
8,2,1,0,0,0,0,0,0,5.797997283705913,1266.789794921875,3.032599615870879e-08,0.0015201642782982636,0.0,0.0,7.399999999999999,0.0,0,0,0,-344.98590087890625,-405.50299072265625,0.8191844700256152
9,2,1,0,0,0,0,0,0,5.797997004375055,1236.789794921875,3.179719310075768e-08,0.0015201689323620649,0.0,0.0,7.699999999999998,0.0,0,0,0,-324.5013732910156,-383.5853271484375,0.8191845003516112
10,2,1,0,0,0,0,0,0,5.797996823611692,1206.789794921875,-3.5725113978202216e-09,0.00019614063197037623,0.0,0.0,7.999999999999998,0.0,0,0,0,-304.016845703125,-361.66766357421875,0.8191845321488045
11,2,1,0,0,0,0,0,0,5.797996829733463,1176.789794921875,-3.7546598052884406e-09,0.00019610883477705343,0.0,0.0,8.299999999999999,0.0,0,0,0,-283.5323181152344,-339.75,0.8191845285762933
12,2,1,0,0,0,0,0,0,5.797996794927821,1146.789794921875,3.4932769565898525e-08,-1.3636337676370403e-05,0.0,0.0,8.6,0.0,0,0,0,-263.04779052734375,-317.83233642578125,0.8191845248216336
13,2,1,0,0,0,0,0,0,5.797998750826483,1116.789794921875,-3.1188525095871e-09,-1.3632583016676136e-05,0.0,0.0,8.9,0.0,0,0,0,-242.5632781982422,-295.9146728515625,0.8191845597544032
14,2,1,0,0,0,0,0,0,5.797998719352219,1086.789794921875,3.773955370434123e-08,0.001064818926779676,0.0,0.0,9.200000000000001,0.0,0,0,0,-222.07876586914062,-273.99700927734375,0.8191845566355505
15,2,1,0,0,0,0,0,0,5.797999503432028,1056.789794921875,-2.313120694985571e-09,0.0010648220456324073,0.0,0.0,9.500000000000002,0.0,0,0,0,-201.59425354003906,-252.07933044433594,0.8191845943751042
16,2,1,0,0,0,0,0,0,5.797999465962253,1026.789794921875,-4.303678058370508e-08,0.0010647843060787032,0.0,0.0,9.800000000000002,0.0,0,0,0,-181.1097412109375,-230.16165161132812,0.8191845920619834
17,2,1,0,0,0,0,0,0,5.797987051732574,996.7898559570312,-3.817232641090129e-09,0.0002366992893350073,0.0,0.0,10.0,0.0,0,0,0,-160.62522888183594,-208.2439727783203,0.819184549025203
18,2,1,0,0,0,0,0,0,5.797999509092389,966.7898559570312,-4.054133473374577e-09,0.00023674232611536894,0.0,0.0,10.0,0.0,0,0,0,-140.14071655273438,-186.3262939453125,0.8191845452079702
19,2,1,0,0,0,0,0,0,5.79799952612221,936.7898559570312,4.328666758368627e-08,0.00023674614334812105,0.0,0.0,10.0,0.0,0,0,0,-119.65619659423828,-164.4086151123047,0.8191845411538368
20,2,1,0,0,0,0,0,0,5.797999420015641,906.7898559570312,-3.024427486231218e-09,0.0009535556555504421,0.0,0.0,10.0,0.0,0,0,0,-99.17167663574219,-142.49093627929688,0.8191845844405043
